algorithm,timestamp,keys_in_memory
SLIDING,1168.0000000000382,689
SLIDING,1168.6000000000383,683
SLIDING,1169.0000000000384,681
SLIDING,1169.6000000000386,688
SLIDING,1170.0000000000387,689
TUMBLING,1170.0,702
SLIDING,1170.6000000000388,780
SLIDING,1171.0000000000389,819
SLIDING,1171.600000000039,860
SLIDING,1172.000000000039,879
SLIDING,1172.6000000000392,896
SLIDING,1173.0000000000393,889
SLIDING,1173.6000000000395,852
SLIDING,1174.0000000000396,814
SLIDING,1174.6000000000397,740
TUMBLING,1175.0,720
SLIDING,1175.0000000000398,702
SLIDING,1175.60000000004,704
SLIDING,1176.00000000004,707
SLIDING,1176.6000000000402,696
SLIDING,1177.0000000000402,704
SLIDING,1177.6000000000404,703
SLIDING,1178.0000000000405,698
SLIDING,1178.6000000000406,692
SLIDING,1179.0000000000407,688
SLIDING,1179.6000000000408,693
TUMBLING,1180.0,702
SLIDING,1180.000000000041,688
SLIDING,1180.600000000041,775
SLIDING,1181.0000000000412,824
SLIDING,1181.6000000000413,881
SLIDING,1182.0000000000414,886
SLIDING,1182.6000000000415,902
SLIDING,1183.0000000000416,891
SLIDING,1183.6000000000417,855
SLIDING,1184.0000000000418,813
SLIDING,1184.600000000042,728
SLIDING,1185.000000000042,687
TUMBLING,1185.0,704
SLIDING,1185.6000000000422,689
SLIDING,1186.0000000000423,699
SLIDING,1186.6000000000424,711
SLIDING,1187.0000000000425,706
SLIDING,1187.6000000000427,709
SLIDING,1188.0000000000427,705
SLIDING,1188.6000000000429,699
SLIDING,1189.000000000043,701
SLIDING,1189.600000000043,698
TUMBLING,1190.0,707
SLIDING,1190.0000000000432,693
SLIDING,1190.6000000000433,790
SLIDING,1191.0000000000434,838
SLIDING,1191.6000000000436,886
SLIDING,1192.0000000000437,876
SLIDING,1192.6000000000438,884
SLIDING,1193.0000000000439,893
SLIDING,1193.600000000044,853
SLIDING,1194.000000000044,804
SLIDING,1194.6000000000442,727
TUMBLING,1195.0,710
SLIDING,1195.0000000000443,702
SLIDING,1195.6000000000445,696
SLIDING,1196.0000000000446,699
SLIDING,1196.6000000000447,700
SLIDING,1197.0000000000448,696
SLIDING,1197.600000000045,692
SLIDING,1198.000000000045,702
SLIDING,1198.6000000000452,699
SLIDING,1199.0000000000452,702
SLIDING,1199.6000000000454,708
TUMBLING,1200.0,722
SLIDING,1200.0000000000455,702
SLIDING,1200.6000000000456,790
SLIDING,1201.0000000000457,839
SLIDING,1201.6000000000458,891
SLIDING,1202.000000000046,908
SLIDING,1202.600000000046,908
SLIDING,1203.0000000000462,900
SLIDING,1203.6000000000463,856
SLIDING,1204.0000000000464,804
SLIDING,1204.6000000000465,733
SLIDING,1205.0000000000466,696
TUMBLING,1205.0,710
SLIDING,1205.6000000000467,694
SLIDING,1206.0000000000468,694
SLIDING,1206.600000000047,694
SLIDING,1207.000000000047,698
SLIDING,1207.6000000000472,690
SLIDING,1208.0000000000473,702
SLIDING,1208.6000000000474,713
SLIDING,1209.0000000000475,714
SLIDING,1209.6000000000477,706
TUMBLING,1210.0,716
SLIDING,1210.0000000000477,701
SLIDING,1210.6000000000479,791
SLIDING,1211.000000000048,834
SLIDING,1211.600000000048,872
SLIDING,1212.0000000000482,888
SLIDING,1212.6000000000483,886
SLIDING,1213.0000000000484,871
SLIDING,1213.6000000000486,850
SLIDING,1214.0000000000487,820
SLIDING,1214.6000000000488,726
TUMBLING,1215.0,711
SLIDING,1215.0000000000489,699
SLIDING,1215.600000000049,690
SLIDING,1216.000000000049,692
SLIDING,1216.6000000000492,700
SLIDING,1217.0000000000493,699
SLIDING,1217.6000000000495,700
SLIDING,1218.0000000000496,706
SLIDING,1218.6000000000497,695
SLIDING,1219.0000000000498,699
SLIDING,1219.60000000005,696
TUMBLING,1220.0,716
SLIDING,1220.00000000005,703
SLIDING,1220.6000000000502,790
SLIDING,1221.0000000000502,834
SLIDING,1221.6000000000504,876
SLIDING,1222.0000000000505,894
SLIDING,1222.6000000000506,900
SLIDING,1223.0000000000507,891
SLIDING,1223.6000000000508,853
SLIDING,1224.000000000051,810
SLIDING,1224.600000000051,737
TUMBLING,1225.0,716
SLIDING,1225.0000000000512,700
SLIDING,1225.6000000000513,694
SLIDING,1226.0000000000514,692
SLIDING,1226.6000000000515,692
SLIDING,1227.0000000000516,688
SLIDING,1227.6000000000518,689
SLIDING,1228.0000000000518,686
SLIDING,1228.600000000052,692
SLIDING,1229.000000000052,690
SLIDING,1229.6000000000522,690
TUMBLING,1230.0,710
SLIDING,1230.0000000000523,700
SLIDING,1230.6000000000524,797
SLIDING,1231.0000000000525,844
SLIDING,1231.6000000000527,891
SLIDING,1232.0000000000528,891
SLIDING,1232.600000000053,903
SLIDING,1233.000000000053,890
SLIDING,1233.6000000000531,855
SLIDING,1234.0000000000532,819
SLIDING,1234.6000000000533,748
TUMBLING,1235.0,739
SLIDING,1235.0000000000534,729
SLIDING,1235.6000000000536,732
SLIDING,1236.0000000000537,737
SLIDING,1236.6000000000538,731
SLIDING,1237.000000000054,720
SLIDING,1237.600000000054,707
SLIDING,1238.0000000000541,698
SLIDING,1238.6000000000543,682
SLIDING,1239.0000000000543,683
SLIDING,1239.6000000000545,685
TUMBLING,1240.0,694
SLIDING,1240.0000000000546,685
SLIDING,1240.6000000000547,773
SLIDING,1241.0000000000548,832
SLIDING,1241.600000000055,874
SLIDING,1242.000000000055,899
SLIDING,1242.6000000000552,900
SLIDING,1243.0000000000553,903
SLIDING,1243.6000000000554,864
SLIDING,1244.0000000000555,817
SLIDING,1244.6000000000556,740
TUMBLING,1245.0,715
SLIDING,1245.0000000000557,702
SLIDING,1245.6000000000558,690
SLIDING,1246.000000000056,690
SLIDING,1246.600000000056,679
SLIDING,1247.0000000000562,675
SLIDING,1247.6000000000563,672
SLIDING,1248.0000000000564,676
SLIDING,1248.6000000000565,673
SLIDING,1249.0000000000566,681
SLIDING,1249.6000000000568,681
SLIDING,1250.0000000000568,677
TUMBLING,1250.0,694
SLIDING,1250.600000000057,766
SLIDING,1251.000000000057,822
SLIDING,1251.6000000000572,871
SLIDING,1252.0000000000573,886
SLIDING,1252.6000000000574,886
SLIDING,1253.0000000000575,877
SLIDING,1253.6000000000577,847
SLIDING,1254.0000000000578,800
SLIDING,1254.600000000058,719
TUMBLING,1255.0,697
SLIDING,1255.000000000058,688
SLIDING,1255.6000000000581,677
SLIDING,1256.0000000000582,679
SLIDING,1256.6000000000583,681
SLIDING,1257.0000000000584,688
SLIDING,1257.6000000000586,691
SLIDING,1258.0000000000587,691
SLIDING,1258.6000000000588,696
SLIDING,1259.000000000059,696
SLIDING,1259.600000000059,704
TUMBLING,1260.0,716
SLIDING,1260.0000000000591,702
SLIDING,1260.6000000000593,802
SLIDING,1261.0000000000593,851
SLIDING,1261.6000000000595,899
SLIDING,1262.0000000000596,912
SLIDING,1262.6000000000597,925
SLIDING,1263.0000000000598,895
SLIDING,1263.60000000006,850
SLIDING,1264.00000000006,807
SLIDING,1264.6000000000602,732
TUMBLING,1265.0,710
SLIDING,1265.0000000000603,694
SLIDING,1265.6000000000604,700
SLIDING,1266.0000000000605,691
SLIDING,1266.6000000000606,692
SLIDING,1267.0000000000607,696
SLIDING,1267.6000000000608,697
SLIDING,1268.000000000061,714
SLIDING,1268.600000000061,708
SLIDING,1269.0000000000612,706
SLIDING,1269.6000000000613,705
TUMBLING,1270.0,715
SLIDING,1270.0000000000614,701
SLIDING,1270.6000000000615,797
SLIDING,1271.0000000000616,843
SLIDING,1271.6000000000618,885
SLIDING,1272.0000000000618,901
SLIDING,1272.600000000062,899
SLIDING,1273.000000000062,892
SLIDING,1273.6000000000622,860
SLIDING,1274.0000000000623,814
SLIDING,1274.6000000000624,735
SLIDING,1275.0000000000625,698
TUMBLING,1275.0,716
SLIDING,1275.6000000000627,698
SLIDING,1276.0000000000628,697
SLIDING,1276.600000000063,705
SLIDING,1277.000000000063,695
SLIDING,1277.6000000000631,684
SLIDING,1278.0000000000632,682
SLIDING,1278.6000000000633,690
SLIDING,1279.0000000000634,693
SLIDING,1279.6000000000636,699
TUMBLING,1280.0,721
SLIDING,1280.0000000000637,710
SLIDING,1280.6000000000638,799
SLIDING,1281.000000000064,848
SLIDING,1281.600000000064,887
SLIDING,1282.0000000000641,906
SLIDING,1282.6000000000643,909
SLIDING,1283.0000000000643,896
SLIDING,1283.6000000000645,856
SLIDING,1284.0000000000646,821
SLIDING,1284.6000000000647,740
TUMBLING,1285.0,723
SLIDING,1285.0000000000648,711
SLIDING,1285.600000000065,705
SLIDING,1286.000000000065,704
SLIDING,1286.6000000000652,714
SLIDING,1287.0000000000653,719
SLIDING,1287.6000000000654,727
SLIDING,1288.0000000000655,719
SLIDING,1288.6000000000656,707
SLIDING,1289.0000000000657,702
SLIDING,1289.6000000000658,704
TUMBLING,1290.0,717
SLIDING,1290.000000000066,695
SLIDING,1290.600000000066,785
SLIDING,1291.0000000000662,841
SLIDING,1291.6000000000663,889
SLIDING,1292.0000000000664,897
SLIDING,1292.6000000000665,890
SLIDING,1293.0000000000666,886
SLIDING,1293.6000000000668,854
SLIDING,1294.0000000000668,814
SLIDING,1294.600000000067,738
TUMBLING,1295.0,719
SLIDING,1295.000000000067,702
SLIDING,1295.6000000000672,695
SLIDING,1296.0000000000673,704
SLIDING,1296.6000000000674,706
SLIDING,1297.0000000000675,694
SLIDING,1297.6000000000677,692
SLIDING,1298.0000000000678,699
SLIDING,1298.600000000068,694
SLIDING,1299.000000000068,678
SLIDING,1299.6000000000681,684
TUMBLING,1300.0,694
SLIDING,1300.0000000000682,682
SLIDING,1300.6000000000683,778
SLIDING,1301.0000000000684,818
SLIDING,1301.6000000000686,866
SLIDING,1302.0000000000687,879
SLIDING,1302.6000000000688,890
SLIDING,1303.000000000069,879
SLIDING,1303.600000000069,840
SLIDING,1304.0000000000691,804
SLIDING,1304.6000000000693,732
TUMBLING,1305.0,721
SLIDING,1305.0000000000693,708
SLIDING,1305.6000000000695,711
SLIDING,1306.0000000000696,710
SLIDING,1306.6000000000697,705
SLIDING,1307.0000000000698,707
SLIDING,1307.60000000007,703
SLIDING,1308.00000000007,695
SLIDING,1308.6000000000702,697
SLIDING,1309.0000000000703,694
SLIDING,1309.6000000000704,686
TUMBLING,1310.0,707
SLIDING,1310.0000000000705,696
SLIDING,1310.6000000000706,786
SLIDING,1311.0000000000707,842
SLIDING,1311.6000000000708,892
SLIDING,1312.000000000071,916
SLIDING,1312.600000000071,902
SLIDING,1313.0000000000712,886
SLIDING,1313.6000000000713,852
SLIDING,1314.0000000000714,806
SLIDING,1314.6000000000715,719
SLIDING,1315.0000000000716,684
TUMBLING,1315.0,697
SLIDING,1315.6000000000718,691
SLIDING,1316.0000000000719,702
SLIDING,1316.600000000072,704
SLIDING,1317.000000000072,698
SLIDING,1317.6000000000722,700
SLIDING,1318.0000000000723,697
SLIDING,1318.6000000000724,698
SLIDING,1319.0000000000725,700
SLIDING,1319.6000000000727,691
SLIDING,1320.0000000000728,699
TUMBLING,1320.0,716
SLIDING,1320.600000000073,785
SLIDING,1321.000000000073,836
SLIDING,1321.6000000000731,885
SLIDING,1322.0000000000732,900
SLIDING,1322.6000000000734,901
SLIDING,1323.0000000000734,891
SLIDING,1323.6000000000736,854
SLIDING,1324.0000000000737,813
SLIDING,1324.6000000000738,734
TUMBLING,1325.0,719
SLIDING,1325.000000000074,706
SLIDING,1325.600000000074,707
SLIDING,1326.0000000000741,705
SLIDING,1326.6000000000743,703
SLIDING,1327.0000000000744,708
SLIDING,1327.6000000000745,701
SLIDING,1328.0000000000746,702
SLIDING,1328.6000000000747,689
SLIDING,1329.0000000000748,693
SLIDING,1329.600000000075,696
TUMBLING,1330.0,714
SLIDING,1330.000000000075,704
SLIDING,1330.6000000000752,780
SLIDING,1331.0000000000753,822
SLIDING,1331.6000000000754,870
SLIDING,1332.0000000000755,884
SLIDING,1332.6000000000756,890
SLIDING,1333.0000000000757,882
SLIDING,1333.6000000000759,852
SLIDING,1334.000000000076,810
SLIDING,1334.600000000076,726
SLIDING,1335.0000000000762,687
TUMBLING,1335.0,706
SLIDING,1335.6000000000763,687
SLIDING,1336.0000000000764,690
SLIDING,1336.6000000000765,695
SLIDING,1337.0000000000766,699
SLIDING,1337.6000000000768,708
SLIDING,1338.0000000000769,709
SLIDING,1338.600000000077,705
SLIDING,1339.000000000077,707
SLIDING,1339.6000000000772,704
SLIDING,1340.0000000000773,699
TUMBLING,1340.0,714
SLIDING,1340.6000000000774,793
SLIDING,1341.0000000000775,837
SLIDING,1341.6000000000777,873
SLIDING,1342.0000000000778,905
SLIDING,1342.600000000078,903
SLIDING,1343.000000000078,891
SLIDING,1343.6000000000781,852
SLIDING,1344.0000000000782,812
SLIDING,1344.6000000000784,729
TUMBLING,1345.0,705
SLIDING,1345.0000000000784,691
SLIDING,1345.6000000000786,694
SLIDING,1346.0000000000787,693
SLIDING,1346.6000000000788,691
SLIDING,1347.000000000079,688
SLIDING,1347.600000000079,683
SLIDING,1348.0000000000791,686
SLIDING,1348.6000000000793,690
SLIDING,1349.0000000000794,699
SLIDING,1349.6000000000795,704
TUMBLING,1350.0,719
SLIDING,1350.0000000000796,702
SLIDING,1350.6000000000797,794
SLIDING,1351.0000000000798,837
SLIDING,1351.60000000008,879
SLIDING,1352.00000000008,887
SLIDING,1352.6000000000802,902
SLIDING,1353.0000000000803,887
SLIDING,1353.6000000000804,846
SLIDING,1354.0000000000805,809
SLIDING,1354.6000000000806,731
TUMBLING,1355.0,710
SLIDING,1355.0000000000807,697
SLIDING,1355.6000000000809,706
SLIDING,1356.000000000081,710
SLIDING,1356.600000000081,708
SLIDING,1357.0000000000812,697
SLIDING,1357.6000000000813,709
SLIDING,1358.0000000000814,704
SLIDING,1358.6000000000815,711
SLIDING,1359.0000000000816,710
SLIDING,1359.6000000000818,706
TUMBLING,1360.0,719
SLIDING,1360.0000000000819,708
SLIDING,1360.600000000082,795
SLIDING,1361.000000000082,842
SLIDING,1361.6000000000822,872
SLIDING,1362.0000000000823,884
SLIDING,1362.6000000000824,886
SLIDING,1363.0000000000825,871
SLIDING,1363.6000000000827,839
SLIDING,1364.0000000000828,806
SLIDING,1364.600000000083,725
TUMBLING,1365.0,706
SLIDING,1365.000000000083,690
SLIDING,1365.6000000000831,696
SLIDING,1366.0000000000832,700
SLIDING,1366.6000000000834,705
SLIDING,1367.0000000000834,705
SLIDING,1367.6000000000836,701
SLIDING,1368.0000000000837,693
SLIDING,1368.6000000000838,701
SLIDING,1369.000000000084,707
SLIDING,1369.600000000084,714
TUMBLING,1370.0,733
SLIDING,1370.0000000000841,717
SLIDING,1370.6000000000843,806
